name,address,tel,fax
北投分館,112臺北市北投區光明路251號,2897-7682,2897-8538
稻香分館,112臺北市北投區稻香路81號3-4樓,2894-0662,2894-7004
石牌分館,112臺北市北投區明德路208巷5號3-10樓,2823-9634,2823-9864
清江分館,112臺北市北投區公館路198號3樓,2896-0315,2894-7008
吉利分館,112臺北市北投區立農街1段366號5-8樓,2820-1633,2820-1627
永明民眾閱覽室,112臺北市北投區石牌路2段115號7-8樓,2823-4141,2823-4140
秀山民眾閱覽室,112臺北市北投區中和街534號5-9樓,2892-1475,2892-1491
葫蘆堵分館,111臺北市士林區延平北路5段136巷1號3-9樓,2812-6513,2812-7945
天母分館,111臺北市士林區中山北路7段154巷6號3-4樓,2873-6203,2874-0114
士林分館,111臺北市士林區華聲街17號3樓,2836-1994,2834-0910
李科永紀念館,111臺北市士林區中正路15號,2883-3453,2883-6321
內湖分館,114臺北市內湖區民權東路6段99號6樓,2791-8772,2795-3876
東湖分館,114臺北市內湖區五分街6號,2632-3378,2633-2654
西湖分館,114臺北市內湖區內湖路1段594號,2797-3183,2798-6483
西中分館,114臺北市內湖區內湖路1段285巷66號1-2樓,8751-5497,8751-9994
松山分館,105臺北市松山區八德路4段688號5-8樓,2753-1875,2749-3158
民生分館,105臺北市松山區敦化北路199巷5號4-5樓,2713-8083,2718-2145
三民分館,105臺北市松山區民生東路5段163-1號5-6樓,2760-0408,2756-4843
中崙分館,105臺北市松山區長安東路2段229號7-10樓,8773-6858,8773-6859
啟明分館,105臺北市松山區敦化北路155巷76號,2514-8443,2514-8428
永春分館,110臺北市信義區松山路294號3-4樓,2760-9730,2756-4867
三興分館,110臺北市信義區吳興街156巷6號4-5樓,8732-1063,8732-1064
六合分館,110臺北市信義區松仁路240巷19號3-5樓,2729-2485,2729-7193
南港分館,115臺北市南港區市民大道8段367號2-3樓及B1,2782-5232,2651-9838
舊莊分館,115臺北市南港區舊莊街1段91巷11號2-5樓,2783-7212,2783-4552
龍華民眾閱覽室,115臺北市南港區東新街63巷8號,2785-1740,2651-9810
北原借還書站,115臺北市南港區向陽路49號4樓,2782-8740,
中山分館,104臺北市中山區松江路367號8樓,2502-6442,2506-4599
長安分館,104臺北市中山區長安西路3號4樓,2562-5540,2521-7937
大直分館,104臺北市中山區大直街25號3-5樓,2533-6535,2533-3932
恆安民眾閱覽室,104臺北市中山區民權東路1段71巷19號,2593-5482,2593-1505
龍山分館,108臺北市萬華區桂林路65巷6號,2331-1497,2389-2675
東園分館,108臺北市萬華區東園街199號,2307-0460,2301-6572
西園分館,108臺北市萬華區興寧街6號3-6樓,2306-9046,2336-8232
萬華分館,108臺北市萬華區東園街19號5-7樓,2339-1056,2339-1062
柳鄉民眾閱覽室,108臺北市萬華區環河南路2段102號4樓,2308-0586,2336-8233
延平分館,103臺北市大同區保安街47號,2552-8534,2552-8544
大同分館,103臺北市大同區重慶北路3段318號,2594-3236,2599-1423
建成分館,103臺北市大同區民生西路198之20號4樓,2558-2320,2556-5360
蘭州民眾閱覽室,103臺北市大同區昌吉街57號4樓之6,2598-1387,2585-8641
總館,106臺北市大安區建國南路2段125號,2755-2823,2703-3545
道藩分館,106臺北市大安區辛亥路3段11號3樓,2733-4031,2739-0541
大安分館,106臺北市大安區辛亥路3段223號4-5樓,2732-5422,2377-9420
延吉民眾閱覽室,106臺北市大安區延吉街236巷17號3-4樓,2708-1964,2705-2653
成功民眾閱覽室,106臺北市大安區和平東路2段311巷29號4樓,2701-3604,2754-2701
龍安民眾閱覽室,106臺北市大安區永康街60號2-3樓,2394-5485,2391-0884
王貫英紀念館,100臺北市中正區汀州路2段265號,2367-8734,2367-0743
城中分館,100臺北市中正區濟南路2段46號3樓,2393-8274,2394-7183
南機場借還書站,100臺北市中正區中華路2段315巷16號1樓,2303-2436,
景美分館,116臺北市文山區羅斯福路5段176巷50號2-4樓,2932-8457,2930-3152
木柵分館,116臺北市文山區保儀路13巷3號3-4樓,2939-7520,2936-2631
永建分館,116臺北市文山區木柵路1段177號3-4樓,2236-7448,2236-2443
萬興分館,116臺北市文山區萬壽路27號4-5樓,2234-5501,2937-5155
文山分館,116臺北市文山區興隆路2段160號7-9樓,2931-5339,2931-5486
力行分館,116臺北市文山區一壽街22號5-8樓,8661-2196,8661-2197
景新分館,116臺北市文山區景後街151號5-10樓,2933-1244,2933-5340
安康民眾閱覽室,116臺北市文山區興隆路4段105巷1號4樓,2939-0180,2936-9386
萬芳民眾閱覽室,116臺北市文山區萬美街1段25號1-2樓,2230-5287,2230-5233
公訓圖書站,116台北市文山區萬美街2段21巷20號5樓,2932-0212,2932-3588
西門智慧館,100臺北市中正區中華路1段51-1號,,
松山機場智慧館,105臺北市松山區敦化北路338號B1,,
太陽圖書館,108臺北市萬華區青年路65號,,
百齡智慧館,111臺北市士林區福港街205號,,
東區地下街智慧館,106臺北市大安區大安路1段77號,,
福德智慧圖書館,110臺北市信義區福德街15號2樓,,
古亭智慧圖書館,116臺北市中正區寧波西街286號,,
