縣市,學校,地址 ,電話,網址 ,傳真
宜蘭縣,宜蘭特殊教育學校,宜蘭縣五結鄉國民中路22之20號,(03)9509788,www.isse.ilc.edu.tw,(03)9509868
基隆市,基隆特殊教育學校,基隆市七堵區堵南街20號,(02)24526332,210.240.4.129,(02)24526341
臺北市,臺北市立啟聰學校,臺北市大同區重慶北路三段320號,(02)25924446,www.tmd.tp.edu.tw,(02)25913451
臺北市,臺北市立啟智學校,臺北市士林區忠誠路2段207巷3號,(02)28749117,www.tpmr.tp.edu.tw,(02)28753079
臺北市,臺北市立啟明學校,臺北市士林區忠誠路2段207巷1號,(02)28740670,www.tmsb.tp.edu.tw,(02)28732612
臺北市,文山特殊教育學校,臺北市文山區秀明路一段169號,(02)86615183,www.wsses.tp.edu.tw,(02)22340164
新北市,新北特殊教育學校,新北市林口區文化北路一段425號,(02)26006768,210.60.207.4,(02)26006799
桃園市,桃園啟智學校,桃園市桃園區德壽街十號,(03)3647099,www.tsad.tyc.edu.tw,(03)3637715
新竹縣,新竹特殊教育學校,新竹縣竹北市光明六路東二段201號,(03)6676639,http://www.nhs.hcc.edu.tw/,(03)6676619
苗栗縣,苗栗特殊教育學校,苗栗縣苗栗市嘉新里經國路4段825號,(037)266498,www.mlses.mlc.edu.tw,(037)263046
臺中市,臺中特殊教育學校,臺中市南屯區公益路二段296號,(04)22582289,www.tcspe.tc.edu.tw,(04)22558672
臺中市,臺中啟聰學校,臺中市西屯區協和里安和路一號,(04)23589577,www.thdf.tc.edu.tw,(04)23584612
臺中市,臺中啟明學校,臺中市后里區三豐路72號,(04)25562126,www.cmsb.tc.edu.tw,(04)25578201
臺中市,私立惠明盲校,臺中市大雅區雅潭路四段336號,(04)25661024,www.hmsh.tc.edu.tw,(04)25661180
南投縣,南投特殊教育學校,南投縣南投市仁德路200號,(049)2390773,www.ntss.ntct.edu.tw/,(049)2392401
彰化縣,和美實驗學校,彰化縣和美鎮鹿和路六段115號,(04)7552009,www.nhes.edu.tw,(04)7569867
彰化縣,彰化特殊教育學校,彰化縣社頭鄉中山路一段306號,(04)8727303,www.chsmr.chc.edu.tw,(04)8728652
雲林縣,雲林特殊教育學校,雲林縣斗南鎮新崙里新崙路100號,(05)5969241,www.nyses.ylc.edu.tw,(05)5969330
嘉義市,嘉義特殊教育學校,嘉義市西區世賢路二段一二三號,(05)2858549,www.cymrs.cy.edu.tw,"(05)2360373,2837138"
臺南市,臺南啟智學校,臺南市安南區長和路2段74號,(06)3554591,www.tnmr.tn.edu.tw,(06)3567504
臺南市,臺南大學附屬啟聰學校,臺南市新化區信義路52號,(06)5900504,www.tndsh.tnc.edu.tw,(06)2250498.5908824
高雄市,楠梓特殊學校,高雄市楠梓區德民路211號,(07)3642007轉112,www.nzsmr.kh.edu.tw,(07)3642645
高雄市,成功啟智學校,高雄市前鎮區復興三路三號,(07)3304624,www.ckmr.kh.edu.tw,(07)3304685
高雄市,高雄啟智學校,高雄市苓雅區憲政路二三三巷二號,(07)2235940,www.kmsmr.kh.edu.tw,(07)2257071
高雄市,仁武特殊教育學校,高雄市仁武區八卦村澄觀路一三八九號,(07)3749788,www.ses.ks.edu.tw,(07)3745051
屏東縣,屏東特殊教育學校,屏東縣潮州鎮光春路311號,(08)7805510,http://web.pses.ptc.edu.tw/default1.asp,(08)7805518
臺東縣,臺東大學附屬特教學校,臺東縣台東市中興路三段401巷170號,(089)229913,www.nttusps.nttu.edu.tw,(089)226611
花蓮縣,花蓮特殊教育學校,花蓮縣吉安鄉宜昌村中山路二段二號,(03)8544225,www.hlmrs.hlc.edu.tw,(03)8541974
