106學年度空大及大專校院附設進修學校名錄,,,,,,
,,,,,,
代碼,學校名稱,公/私立,縣市名稱,地址,電話,網址
0A01,國立空中大學,公立,[01]新北市,[247]新北市蘆洲區中正路172號,(02)22829355,http://www.nou.edu.tw
0A08,虎尾科技大學附進修專校,公立,[09]雲林縣,[632]雲林縣虎尾鎮文化路六四號,(05)6329643,
0A09,國立臺中科技大學附進修專校,公立,[19]臺中市,[404]臺中市北區三民路三段129號,(04)22195678,
0A10,國立臺北商業大學附進修專校,公立,[35]臺北市,[100]臺北市中正區濟南路一段321號,(02)33222777,
0A11,國立勤益科技大學附進修專校,公立,[06]臺中市,[411]臺中市太平區中山路二段57號,(04)23924505,
0A12,國立臺北科技大學附進修學院,公立,[33]臺北市,[106]臺北市大安區忠孝東路三段1號,(02)27712171,
0A13,國立高雄應用科技大學附進修學院,公立,[55]高雄市,[807]高雄市三民區建工路415號,(07)3814526,
0A14,國立虎尾科技大學附進修學院,公立,[09]雲林縣,[632]雲林縣虎尾鎮文化路64號,(05)6315000,
0A15,國立勤益科技大學附進修學院,公立,[06]臺中市,[411]臺中市太平區中山路二段57號,(04)23924505,
0A16,國立臺中科技大學附進修學院,公立,[19]臺中市,[404]臺中市北區三民路三段129號,(04)22195678,
0A17,國立臺北商業大學附空中進院,公立,[35]臺北市,[100]臺北市中正區濟南路一段321號,(02)33222777,
0A18,國立臺中科技大學附空中進院,公立,[19]臺中市,[404]臺中市北區三民路三段129號,(04)22195678,
1A01,高苑科技大學附進修專校,私立,[12]高雄市,[821]高雄市路竹區中山路1821號,(07)6077777,
1A02,和春技術學院附進修專校,私立,[12]高雄市,[831]高雄市大寮區琉球里至學路288號,(07)7889888,
1A03,環球科技大學附進修專校,私立,[09]雲林縣,[640]雲林縣斗六市嘉東里鎮南路1221號,(05)5370988,
1A05,景文科技大學附進修專校,私立,[01]新北市,[231]新北市新店區安忠路九九號,(02)82122000,
1A06,中州科技大學附進修專校,私立,[07]彰化縣,[510]彰化縣員林市山腳路三段2巷6號,(04)8359000,
1A07,美和科技大學附進修專校,私立,[13]屏東縣,[912]屏東縣內埔鄉美和村屏光路23號,(08)7799821,
1A08,南開科技大學附進修專校,私立,[08]南投縣,[542]南投縣草屯鎮中正路568號,(049)2563489,
1A09,東方設計大學附進修專校,私立,[12]高雄市,[829]高雄市湖內區東方路110號,(07)6932011,
1A10,遠東科技大學附進修專校,私立,[11]臺南市,[744]臺南市新市區中華路四九號,(06)5979566,
1A11,吳鳳科技大學附進修專校,私立,[10]嘉義縣,[621]嘉義縣民雄鄉建國路二段117號,(05)2267125,
1A12,臺灣觀光學院附進修專校,私立,[15]花蓮縣,[974]花蓮縣壽豐鄉豐山村中興街268號,(038)653906,
1A13,亞太創意技術學院附進修專校,私立,[05]苗栗縣,[351]苗栗縣頭份市珊湖里學府路110號 ,(037)605500,
1A14,醒吾科技大學附進修專校,私立,[01]新北市,[244]新北市林口區粉寮路一段101號,(02)26015310,
1A15,蘭陽技術學院附進修專校,私立,[02]宜蘭縣,[261]宜蘭縣頭城鎮復興路79號,(03)9771997,
1A16,修平科技大學附進修專校,私立,[06]臺中市,[412]臺中市大里區工業路11號,(04)24961100,
1A17,嶺東科技大學附進修專校,私立,[19]臺中市,[408]臺中市南屯區嶺東路一號,(04)23892088,
1A18,崑山科技大學附進修專校,私立,[11]臺南市,[710]臺南市永康區崑大路195號,(06)2727175,
1A19,萬能科技大學附進修專校,私立,[03]桃園市,[320]桃園市中壢區水尾里萬能路一號,(03)4515811,
1A20,中國科技大學附進修專校,私立,[38]臺北市,[116]臺北市文山區興隆路三段56號,(02)29313416,
